SearchDate,MonthYear,Institution,CellPhone,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Tobacco,Butane_Oil,Suboxone,Fentanyl,Total
Apr-18,04-2018,LAC,45,0,0,3,7,5,8,0,0,0,68
Apr-18,04-2018,MCSP,6,0,0,3,4,1,0,0,0,0,14
Apr-18,04-2018,NKSP,12,0,0,2,4,2,0,0,0,0,20
Apr-18,04-2018,PBSP,2,0,0,2,0,2,1,0,0,0,7
Apr-18,04-2018,PVSP,5,0,0,0,1,1,2,1,0,0,10
Apr-18,04-2018,RJD,5,0,0,3,3,3,2,0,0,0,16
Apr-18,04-2018,SAC,32,0,0,4,8,4,5,0,0,0,53
Apr-18,04-2018,SATF,16,0,0,4,0,2,0,0,0,0,22
Apr-18,04-2018,SCC,66,0,0,6,16,15,22,0,0,0,125
Apr-18,04-2018,SOL,48,0,0,3,15,4,5,0,0,0,75
Apr-18,04-2018,SQ,16,1,1,0,5,0,1,0,0,0,24
Apr-18,04-2018,SVSP,30,0,0,6,11,13,2,3,0,0,65
Apr-18,04-2018,VSP,5,0,0,2,1,0,1,0,0,0,9
Apr-18,04-2018,WSP,18,0,0,4,10,8,5,0,0,0,45
May-18,05-2018,ASP,6,0,0,1,1,1,0,0,0,0,9
May-18,05-2018,CAC,3,0,1,5,1,3,0,0,0,0,13
May-18,05-2018,CAL,61,0,0,5,1,5,0,1,0,0,73
May-18,05-2018,CCC,55,0,0,0,5,3,1,0,0,0,64
May-18,05-2018,CCI,8,0,0,5,3,2,0,0,0,0,18
May-18,05-2018,CCWF,5,0,0,1,0,1,1,0,0,0,8
May-18,05-2018,CEN,35,0,1,6,9,5,2,0,0,0,58
May-18,05-2018,CHCF,9,0,0,1,1,0,2,0,0,0,13
May-18,05-2018,CIM,5,0,0,0,0,2,1,0,0,0,8
May-18,05-2018,CIW,6,0,0,3,0,1,6,0,0,0,16
May-18,05-2018,CMC,21,0,0,2,0,1,2,0,0,0,26
May-18,05-2018,CMF,16,0,0,0,6,2,3,0,0,0,27
May-18,05-2018,COR,25,0,0,10,19,3,7,0,0,0,64
May-18,05-2018,CRC,3,0,0,4,4,3,0,0,0,0,14
May-18,05-2018,CTF,31,0,0,1,8,13,0,0,0,0,53
May-18,05-2018,CVSP,0,0,0,0,0,4,0,0,0,0,4
May-18,05-2018,DVI,3,0,0,2,4,1,0,0,0,0,10
May-18,05-2018,FOL,8,0,0,7,11,6,1,0,0,0,33
May-18,05-2018,HDSP,3,0,0,5,4,1,0,2,0,0,15
May-18,05-2018,ISP,23,0,0,2,1,3,0,0,0,0,29
May-18,05-2018,KVSP,20,0,0,6,4,2,2,0,0,0,34
May-18,05-2018,LAC,26,0,0,5,16,7,3,0,0,0,57
May-18,05-2018,MCSP,4,0,0,1,5,0,2,0,0,0,12
May-18,05-2018,NKSP,20,0,0,3,7,1,0,0,0,0,31
May-18,05-2018,PBSP,2,0,0,2,0,0,0,0,0,0,4
May-18,05-2018,PVSP,13,0,0,3,3,1,0,0,0,0,20
May-18,05-2018,RJD,8,0,0,5,5,8,1,0,0,0,27
May-18,05-2018,SAC,58,0,1,9,7,3,4,0,0,0,82
May-18,05-2018,SATF,22,0,0,3,4,7,0,0,0,0,36
May-18,05-2018,SCC,51,0,0,10,13,12,8,0,0,0,94
May-18,05-2018,SOL,40,0,0,0,9,5,4,1,0,0,59
May-18,05-2018,SQ,25,0,0,5,3,2,2,0,0,0,37
May-18,05-2018,SVSP,26,0,0,6,4,2,0,2,0,0,40
