SearchDate,MonthYear,Institution,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Butane_Oil,Suboxone,Fentanyl,Total
Nov-20,11-2020,FOL,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,2.41
Nov-20,11-2020,HDSP,0.0,5.7,0.0,34.3,266.5,0.0,12.0,0.0,318.5
Nov-20,11-2020,ISP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov-20,11-2020,KVSP,0.0,0.0,15.8,12.2,161.6,0.0,0.4,0.0,190.0
Nov-20,11-2020,LAC,0.5,0.0,275.09,1261.38,463.19,0.0,288.0,0.6,2288.7599999999998
Nov-20,11-2020,MCSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov-20,11-2020,NKSP,0.0,0.0,0.0,6.4,24.9,0.0,0.0,0.0,31.299999999999997
Nov-20,11-2020,PBSP,4.2,0.0,8.0,0.0,36.9,0.0,0.0,0.0,49.099999999999994
Nov-20,11-2020,PVSP,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,4.77
Nov-20,11-2020,RJD,0.0,0.0,6.9,2.0,630.1999999999999,0.0,0.0,0.0,639.0999999999999
Nov-20,11-2020,SAC,0.0,0.0,80.44,2.66,1456.3,41.0,1.8,0.0,1582.1999999999998
Nov-20,11-2020,SATF,0.0,0.0,0.0,0.0,38.7,109.4,0.0,0.0,148.10000000000002
Nov-20,11-2020,SCC,0.0,0.0,1.0,179.6,63.5,0.0,25.0,0.0,269.1
Nov-20,11-2020,SOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov-20,11-2020,SQ,0.0,0.0,27.73,466.13,165.05,0.0,0.0,0.0,658.9100000000001
Nov-20,11-2020,SVSP,0.0,0.0,119.15,119.23,112.43,0.0,1.7,0.0,352.51
Nov-20,11-2020,VSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nov-20,11-2020,WSP,0.0,0.0,0.0,0.0,26.83,0.0,0.2,15.0,42.03
Dec-20,12-2020,ASP,0.0,0.0,0.0,0.0,41.2,0.0,0.067,0.0,41.267
Dec-20,12-2020,CAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
