SearchDate,MonthYear,Institution,CellPhone_Disc,CellPhone_Amnt,Cocaine_Disc,Cocaine_Amnt (Grams),Hash_Disc,Hash_Amnt (Grams),Heroin_Disc,Heroin_Amnt (Grams),Marijuana_Disc,Marijuana_Amnt (Grams),Methamphetamine_Disc,Methamphetamine_Amnt (Grams),Tobacco_Disc,Tobacco_Amnt (Grams),ButaneHoneyOil_Disc,ButaneHoneyOil_Amnt (Grams),Suboxone_Disc,Suboxone_Amnt (Grams),Fentanyl_Disc,Fentanyl_Amnt (Grams)
Mar-18,03-2018,CEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CHCF,3,3,0,0,0,0,0,0,1,1.12,0,0,2,31.65,0,0,0,0,0,0
Mar-18,03-2018,CIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CIW,1,1,0,0,0,0,0,0,0,0,2,3.5,0,0,0,0,0,0,0,0
Mar-18,03-2018,CMC,2,2,0,0,0,0,0,0,0,0,0,0,2,900,0,0,0,0,0,0
Mar-18,03-2018,CMF,3,3,0,0,0,0,1,1.4,0,0,0,0,1,630,0,0,0,0,0,0
Mar-18,03-2018,COR,2,4,0,0,0,0,0,0,2,1.5,0,0,2,11,0,0,0,0,0,0
Mar-18,03-2018,CRC,1,5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,CTF,1,1,0,0,0,0,1,0.6,0,0,1,0.5,0,0,0,0,0,0,0,0
Mar-18,03-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,DVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,FOL,4,9,0,0,1,15,2,12.3,5,35.3,0,0,2,108.6,0,0,0,0,0,0
Mar-18,03-2018,HDSP,0,0,0,0,0,0,0,0,0,0,1,30.6,0,0,0,0,0,0,0,0
Mar-18,03-2018,ISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,KVSP,4,10,0,0,0,0,1,0.01,0,0,0,0,1,3.7,0,0,0,0,0,0
Mar-18,03-2018,LAC,9,23,0,0,0,0,0,0,0,0,1,4.7,1,0.7,0,0,0,0,0,0
Mar-18,03-2018,MCSP,3,4,0,0,0,0,0,0,0,0,0,0,1,105,0,0,0,0,0,0
Mar-18,03-2018,NKSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,PBSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,PVSP,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,RJD,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,SAC,7,22,0,0,0,0,0,0,3,51.84,2,29.24,2,258.54,0,0,0,0,0,0
Mar-18,03-2018,SATF,6,11,0,0,0,0,1,8,2,9.4,2,30.1,1,5,0,0,0,0,0,0
Mar-18,03-2018,SCC,5,14,0,0,0,0,1,1.5,1,2,1,1,3,751.3,0,0,0,0,0,0
Mar-18,03-2018,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,SQ,1,3,0,0,0,0,0,0,1,0.76,2,140,0,0,0,0,0,0,0,0
Mar-18,03-2018,SVSP,4,38,0,0,0,0,1,0.4,5,175.92,0,0,4,968.6,0,0,0,0,0,0
Mar-18,03-2018,VSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,WSP,1,1,0,0,0,0,0,0,1,2.44,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,ASP,3,3,0,0,0,0,2,102.5,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CAL,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CCC,5,6,1,12.1,0,0,2,52.7,2,4,1,24,3,169,0,0,0,0,0,0
Apr-18,04-2018,CCI,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Apr-18,04-2018,CCWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CHCF,0,0,0,0,0,0,0,0,0,0,1,1.09,3,41.86,0,0,0,0,0,0
Apr-18,04-2018,CIM,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CIW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CMF,3,3,0,0,0,0,0,0,3,12.6,0,0,1,453,0,0,0,0,0,0
Apr-18,04-2018,COR,2,2,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0
Apr-18,04-2018,CRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,0,0,0,0
Apr-18,04-2018,DVI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,FOL,4,7,0,0,0,0,2,25.8,4,8.3,0,0,1,2721,0,0,0,0,0,0
Apr-18,04-2018,HDSP,0,0,0,0,0,0,1,0.1,1,0.5,3,31.2,0,0,0,0,0,0,0,0
Apr-18,04-2018,ISP,2,3,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,KVSP,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,LAC,2,3,0,0,0,0,0,0,1,32.1,1,60,3,142.1,0,0,0,0,0,0
Apr-18,04-2018,MCSP,1,1,0,0,0,0,0,0,2,9.3,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,NKSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,PBSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,PVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,RJD,3,5,0,0,0,0,0,0,1,4.5,0,0,1,57.3,0,0,0,0,0,0
Apr-18,04-2018,SAC,3,18,0,0,0,0,0,0,2,15.03,0,0,2,206.46,0,0,0,0,0,0
Apr-18,04-2018,SATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,SCC,8,49,0,0,0,0,0,0,7,81.7,5,56.25,7,6459.9,0,0,0,0,0,0
Apr-18,04-2018,SOL,0,0,0,0,0,0,0,0,2,2.3,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,SQ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,SVSP,0,0,0,0,0,0,1,0.06,1,4.7,1,1.65,0,0,0,0,0,0,0,0
Apr-18,04-2018,VSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,WSP,3,29,0,0,0,0,2,2.91,4,19.44,4,12.85,2,27.91,0,0,0,0,0,0
May-18,05-2018,ASP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,CAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,CAL,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
