SearchDate,MonthYear,Institution,CellPhone_Disc,CellPhone_Amnt,Cocaine_Disc,Cocaine_Amnt (Grams),Hash_Disc,Hash_Amnt (Grams),Heroin_Disc,Heroin_Amnt (Grams),Marijuana_Disc,Marijuana_Amnt (Grams),Methamphetamine_Disc,Methamphetamine_Amnt (Grams),Tobacco_Disc,Tobacco_Amnt (Grams),ButaneHoneyOil_Disc,ButaneHoneyOil_Amnt (Grams),Suboxone_Disc,Suboxone_Amnt (Grams),Fentanyl_Disc,Fentanyl_Amnt (Grams)
Mar-18,03-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-18,03-2018,DVI,1,14,0,0,0,0,0,0,3,0.5,3,2.7,0,0,1,0,0,0,0,0
Mar-18,03-2018,FOL,32,39,0,0,0,0,8,20.5,10,69.1,3,90.8,2,411.1,1,15,0,0,0,0
Mar-18,03-2018,HDSP,8,10,1,0.6,0,0,2,0.3,1,10.5,5,101.8,0,0,0,0,0,0,0,0
Mar-18,03-2018,ISP,18,21,0,0,0,0,3,8.19,1,3.06,2,7.34,0,0,0,0,0,0,0,0
Mar-18,03-2018,KVSP,25,82,0,0,0,0,12,220.6446,9,330.21,15,428.1,1,0.3,0,0,0,0,0,0
Mar-18,03-2018,LAC,35,88,0,0,0,0,1,27.4,4,193.48,4,71.36,3,5102.6,0,0,0,0,0,0
Mar-18,03-2018,MCSP,4,5,0,0,0,0,3,28.4,0,0,0,0,1,105.3,0,0,0,0,0,0
Mar-18,03-2018,NKSP,11,12,0,0,0,0,5,22.35,6,393.4,7,22,3,231.5,0,0,0,0,0,0
Mar-18,03-2018,PBSP,0,0,0,0,0,0,1,2.6,1,0.1,1,11,0,0,0,0,0,0,0,0
Mar-18,03-2018,PVSP,5,7,0,0,0,0,0,0,1,80.04,2,28.17,0,0,0,0,0,0,0,0
Mar-18,03-2018,RJD,8,8,1,0.8,0,0,2,10.4,5,238.8,1,7.9,2,1086.6,0,0,0,0,0,0
Mar-18,03-2018,SAC,31,54,0,0,0,0,5,150.16,8,194.51,2,31.45,2,300.5,0,0,0,0,0,0
Mar-18,03-2018,SATF,10,13,1,4.8,0,0,1,46.1,1,9.4,3,37.7,1,5.8,1,57.8,0,0,0,0
Mar-18,03-2018,SCC,50,76,0,0,0,0,4,8.5,8,175.2,8,55.669,9,7821.34,0,0,0,0,0,0
Mar-18,03-2018,SOL,37,68,0,0,1,0.8,3,4.6,5,15.7,2,0.7,2,20.9,1,0.8,0,0,0,0
Mar-18,03-2018,SQ,29,29,0,0,0,0,3,62.46,5,239.05,2,144.43,3,42.79,0,0,0,0,0,0
Mar-18,03-2018,SVSP,50,153,0,0,0,0,9,198.627,15,342.218,7,300.208,5,615.53,6,30.03,0,0,0,0
Mar-18,03-2018,VSP,5,13,0,0,0,0,2,8.86,1,22.53,0,0,8,2963.02,0,0,0,0,0,0
Mar-18,03-2018,WSP,9,18,0,0,0,0,2,11.3,2,50.14,2,46.53,1,417.04,1,2.13,0,0,0,0
Apr-18,04-2018,ASP,4,9,0,0,0,0,2,102.68,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CAC,4,4,0,0,0,0,2,15.54,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CAL,52,70,0,0,0,0,7,35.12,2,108.85,1,0.2,0,0,0,0,0,0,0,0
Apr-18,04-2018,CCC,44,65,0,0,0,0,3,16.3,6,23.9,11,128.6,6,10737.79,0,0,0,0,0,0
Apr-18,04-2018,CCI,7,7,0,0,0,0,0,0,0,0,1,8.1,0,0,0,0,0,0,0,0
Apr-18,04-2018,CCWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CEN,29,41,0,0,0,0,4,32.2,5,14.9,1,0.5,1,2,0,0,0,0,0,0
Apr-18,04-2018,CHCF,3,3,0,0,0,0,0,0,0,0,1,1.09,0,0,0,0,0,0,0,0
Apr-18,04-2018,CIM,7,7,0,0,0,0,1,0.5,2,10.7,2,1.7,0,0,0,0,0,0,0,0
Apr-18,04-2018,CIW,4,4,0,0,0,0,0,0,0,0,1,5.6,0,0,0,0,0,0,0,0
Apr-18,04-2018,CMC,15,33,0,0,0,0,0,0,2,20,2,20,2,586,0,0,0,0,0,0
Apr-18,04-2018,CMF,12,12,0,0,0,0,2,0.453,8,27.227,2,11.868,1,2.2,1,0.074,0,0,0,0
Apr-18,04-2018,COR,18,70,0,0,0,0,1,0.2,9,77.2,3,10.9,4,2378,0,0,0,0,0,0
Apr-18,04-2018,CRC,9,9,0,0,0,0,4,36.9,3,213.5,3,85.4,0,0,0,0,0,0,0,0
Apr-18,04-2018,CTF,16,17,0,0,0,0,1,11.19,1,0.024,0,0,0,0,0,0,0,0,0,0
Apr-18,04-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,0,0,0,0
Apr-18,04-2018,DVI,1,7,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
Apr-18,04-2018,FOL,21,33,0,0,0,0,2,0.41,9,51.1,2,19.5,1,56,0,0,0,0,0,0
Apr-18,04-2018,HDSP,7,9,0,0,0,0,5,18.31,2,23,3,27.7,0,0,2,61.2,0,0,0,0
Apr-18,04-2018,ISP,16,24,0,0,0,0,3,7.41,1,0.06,2,6.42,2,10.5,0,0,0,0,0,0
Apr-18,04-2018,KVSP,23,68,0,0,0,0,5,14.32,2,20,8,242,0,0,0,0,0,0,0,0
Apr-18,04-2018,LAC,43,56,0,0,0,0,3,10.32,6,166.99,4,68.82,5,1071.1,0,0,0,0,0,0
Apr-18,04-2018,MCSP,5,5,0,0,0,0,3,49.4,2,9.3,1,45,0,0,0,0,0,0,0,0
Apr-18,04-2018,NKSP,12,19,0,0,0,0,2,106.3,4,39.8,2,126.5,0,0,0,0,0,0,0,0
Apr-18,04-2018,PBSP,2,2,0,0,0,0,2,1,0,0,2,2.6,1,0.2,0,0,0,0,0,0
Apr-18,04-2018,PVSP,5,7,0,0,0,0,0,0,1,0.29,1,4.3,2,89.61,1,0.29,0,0,0,0
Apr-18,04-2018,RJD,2,9,0,0,0,0,3,10.3,2,5.3,3,31.9,1,57.3,0,0,0,0,0,0
Apr-18,04-2018,SAC,29,40.13,0,0,0,0,4,33.8201,6,80.22,4,32.36,3,38.57,0,0,0,0,0,0
Apr-18,04-2018,SATF,16,18,0,0,0,0,4,16.32,0,0,2,129.2,0,0,0,0,0,0,0,0
Apr-18,04-2018,SCC,58,94,0,0,0,0,6,8.876,9,129.9,10,303.25,15,4035.86,0,0,0,0,0,0
Apr-18,04-2018,SOL,48,72,0,0,0,0,3,4,13,86.6,4,6.1,5,4963.8,0,0,0,0,0,0
Apr-18,04-2018,SQ,15,17,1,6.71,1,0.48,0,0,5,64.85,0,0,1,0.84,0,0,0,0,0,0
Apr-18,04-2018,SVSP,30,67,0,0,0,0,5,52.54,10,178.681,12,131.303,2,542.07,3,30.81,0,0,0,0
Apr-18,04-2018,VSP,5,9,0,0,0,0,2,0.34,1,3,0,0,1,2,0,0,0,0,0,0
Apr-18,04-2018,WSP,15,50,0,0,0,0,2,2.91,6,57.5,4,13.15,3,304.79,0,0,0,0,0,0
May-18,05-2018,ASP,5,7,0,0,0,0,1,6.1,1,4.3,1,6.1,0,0,0,0,0,0,0,0
May-18,05-2018,CAC,3,3,0,0,1,0.37,5,118.01,1,66,3,119.42,0,0,0,0,0,0,0,0
May-18,05-2018,CAL,52,79,0,0,0,0,5,56.85,1,4.85,5,94.8,0,0,1,0.8,0,0,0,0
May-18,05-2018,CCC,55,67,0,0,0,0,0,0,4,182.6,3,22.5,1,1200.5,0,0,0,0,0,0
May-18,05-2018,CCI,6,15,0,0,0,0,3,13.76,2,10.17,2,5.28,0,0,0,0,0,0,0,0
May-18,05-2018,CCWF,5,6,0,0,0,0,1,1,0,0,1,1,1,16,0,0,0,0,0,0
May-18,05-2018,CEN,34,42,0,0,1,5,6,68.8,7,264.4,4,106.8,2,23.6,0,0,0,0,0,0
May-18,05-2018,CHCF,7,7,0,0,0,0,1,0.7,1,2.88,0,0,1,15.88,0,0,0,0,0,0
May-18,05-2018,CIM,5,5,0,0,0,0,0,0,0,0,2,0.25,1,9,0,0,0,0,0,0
May-18,05-2018,CIW,5,5,0,0,0,0,3,22,0,0,1,2.5,1,73,0,0,0,0,0,0
May-18,05-2018,CMC,17,48,0,0,0,0,2,22.01,0,0,1,3,1,5443,0,0,0,0,0,0
May-18,05-2018,CMF,12,21,0,0,0,0,0,0,4,59.5,2,22.5,1,475.2,0,0,0,0,0,0
May-18,05-2018,COR,20,83,0,0,0,0,7,19.8,13,197.2,2,21.2,1,1.3,0,0,0,0,0,0
May-18,05-2018,CRC,0,0,0,0,0,0,3,0.5,3,25,3,3.28,0,0,0,0,0,0,0,0
May-18,05-2018,CTF,26,28,0,0,0,0,1,0.25,7,36.274,5,3.23,0,0,0,0,0,0,0,0
May-18,05-2018,CVSP,0,0,0,0,0,0,0,0,0,0,3,47.4,0,0,0,0,0,0,0,0
May-18,05-2018,DVI,2,33,0,0,0,0,2,2,4,31.965,1,2.21,0,0,0,0,0,0,0,0
May-18,05-2018,FOL,8,8,0,0,0,0,6,49.81,9,145.41,6,64.91,0,0,0,0,0,0,0,0
May-18,05-2018,HDSP,3,7,0,0,0,0,4,3.5,2,134.09,1,16.6,0,0,2,5.7,0,0,0,0
May-18,05-2018,ISP,20,21,0,0,0,0,2,0.77,1,6.24,2,39.02,0,0,0,0,0,0,0,0
May-18,05-2018,KVSP,16,19,0,0,0,0,4,0.78,3,63.1,2,20.41,1,30,0,0,0,0,0,0
May-18,05-2018,LAC,25,32,0,0,0,0,5,6.2,11,60.859,5,14.6,2,22.1,0,0,0,0,0,0
May-18,05-2018,MCSP,3,3,0,0,0,0,1,1,3,59.3,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,NKSP,20,23,0,0,0,0,2,23.8,5,57.5,1,5.3,0,0,0,0,0,0,0,0
